tweet_links,created_at,usernames,full_text,language,reply,retweet,like,view
https://twitter.com/demonscarred/status/1665138761242427398,2023-06-03 23:29:52,demonscarred,|| so many things we could plot,en,0,0,0,1057
https://twitter.com/shar_psht/status/1665138537656664065,2023-06-03 23:28:58,shar_psht,|| WE DO ,en,1,0,0,1129
https://twitter.com/THEDEM0EXPERT/status/1665138416067944448,2023-06-03 23:28:29,THEDEM0EXPERT,He's just silently standing next to @shar_psht,en,0,0,0,1005
https://twitter.com/demonscarred/status/1665138381129494531,2023-06-03 23:28:21,demonscarred,|| @shar_psht we really need to write in this verse ,en,1,0,0,985
https://twitter.com/shar_psht/status/1665137493983784966,2023-06-03 23:24:49,shar_psht,|| look at him ,en,1,1,0,1443
https://twitter.com/Savva_a/status/1665110309990793217,2023-06-03 21:36:48,Savva_a,Eshalla psht ba xwa,ca,0,0,1,911
https://twitter.com/yan_choi71283/status/1665049003468156928,2023-06-03 17:33:12,yan_choi71283,"#Gelang berlogo #psht ini mungkin akan kalian sukai. Desainnya bagus bisa jadi salah satu penghias tangan kamu.

Bisa cek disini
https://vt.tiktok.com/ZSLFMwUKW/",in,0,0,0,1518
https://twitter.com/tommylee_1922/status/1665028660099977222,2023-06-03 16:12:21,tommylee_1922,Psht,en,0,0,0,666
https://twitter.com/monsterluver420/status/1665018045121609729,2023-06-03 15:30:11,monsterluver420,THE PSHT ,en,0,0,0,652
https://twitter.com/wiebowo__/status/1665015321626042368,2023-06-03 15:19:21,wiebowo__,Kalo yg kayak gini gak disebut politik identitas ya ,in,0,0,0,674
https://twitter.com/nurraaxxxx/status/1665006863342088192,2023-06-03 14:45:45,nurraaxxxx,Waww ternyata nack psht,in,1,0,1,561
https://twitter.com/DramaJae_/status/1664972751591841793,2023-06-03 12:30:12,DramaJae_,"Psht, nuuuu! U hehe ",tl,0,0,6,550
https://twitter.com/mahmod_aras/status/1664958404886970375,2023-06-03 11:33:11,mahmod_aras,Xam harchanda gawra bet xwda law xama gawra traw charasare dakat boya psht baw bbasta,tl,0,0,0,494
https://twitter.com/alpwonsooo/status/1664929083942117377,2023-06-03 09:36:41,alpwonsooo,ukm psht,in,0,0,0,567
https://twitter.com/mas_yuddd/status/1664910223025537025,2023-06-03 08:21:44,mas_yuddd,Mau join psht u? @C_JessiJKT48,in,0,0,0,497
https://twitter.com/riganacci/status/1664889352940314625,2023-06-03 06:58:48,riganacci,"Like any of us have seen Terrifier 2.... psht, as if..",en,1,0,0,847
https://twitter.com/ZubairPSHT/status/1664887353456861184,2023-06-03 06:50:51,ZubairPSHT,بغاوت کرنے والوں کے ساتھ کوئی نرمی نہیں کرنا چاہیے,ur,0,0,0,384
https://twitter.com/wiebowo__/status/1664862605184204801,2023-06-03 05:12:31,wiebowo__,Menteri nasdem gk ada yg beres,in,3,0,1,1589
https://twitter.com/wiebowo__/status/1664853350654042112,2023-06-03 04:35:44,wiebowo__,"Udah masuk penistaan agama nih . Lumayan tuh laporin, nanti di dalem penjara pasti seneng di tusbol napi lain ",in,0,0,0,503
https://twitter.com/artificialnix/status/1664756158727331846,2023-06-02 22:09:32,artificialnix,the D? psht! give me the NeuroD!! as in NeuroDivergent!!!,en,1,1,5,735
https://twitter.com/lawiinnn/status/1664742625960771586,2023-06-02 21:15:46,lawiinnn,Ta adam la psht be hsab bo qsay kas nakam ,in,1,0,0,428
https://twitter.com/NCLOYAL_ERC20/status/1664732325698052097,2023-06-02 20:34:50,NCLOYAL_ERC20,"psht

$CLOYL is the only thing thats gonna print in this attention ecosystem",en,0,0,1,102
https://twitter.com/shall001/status/1664730243062460417,2023-06-02 20:26:33,shall001,Psht nah,tl,1,0,1,325
https://twitter.com/yurintroject/status/1664720092095995909,2023-06-02 19:46:13,yurintroject,Psht. I cant belicve it.. You sho t me in the leg and oyu just   forget. Writing a callout immediately,en,1,0,1,93
https://twitter.com/GeekyKaplan/status/1664709665316392975,2023-06-02 19:04:47,GeekyKaplan,Psht. No contest. Conroy all the way.,en,0,1,5,887
https://twitter.com/JBird___/status/1664707250437476355,2023-06-02 18:55:11,JBird___,"Psht, I would’ve taken this 425 dead center",en,2,0,2,1130
https://twitter.com/perpetuities/status/1664705673555333153,2023-06-02 18:48:55,perpetuities,Psht why would we care about the opinion of a SECOND PLACE swimmer? Second place is FIRST LOSER!,en,2,0,2,352
https://twitter.com/macakcasual/status/1664693711878467585,2023-06-02 18:01:24,macakcasual,Meh mantau perkembangan PSIM malah metu phst psht ps1 ps2 ps3 phone sex.,in,0,0,0,712
https://twitter.com/yawnnzzns/status/1664691374397046784,2023-06-02 17:52:06,yawnnzzns,du musst mir die nicht schenken psht,de,1,0,0,277
https://twitter.com/Modernmarxist05/status/1664679630706442272,2023-06-02 17:05:26,Modernmarxist05,Thats because i told you so psht,en,1,0,0,230
https://twitter.com/punyaallan_/status/1664652425268203522,2023-06-02 15:17:20,punyaallan_,bapa gua be like : makannya kamu kalo lawan psht harus menang telak,in,0,0,0,264
https://twitter.com/incr_hand/status/1664610395527729153,2023-06-02 12:30:19,incr_hand,Genah wong psht? Gebyah uyah? Ngono nak diarani pelakune wong BM jare ya mung oknum ,in,0,0,0,965
https://twitter.com/ibn_klingschor/status/1664609310502944776,2023-06-02 12:26:01,ibn_klingschor,Psht so why is India member then. They are flakey as fuck.,en,0,0,1,236
https://twitter.com/Dt_Hendra_RP/status/1664579061019217920,2023-06-02 10:25:49,Dt_Hendra_RP,"Jangan Main-Main, PSHT Se-Riau Komit Bela Suhardiman Amby",in,0,0,0,184
https://twitter.com/mimarianami/status/1664575077717778436,2023-06-02 10:09:59,mimarianami,"Psht, cala-te.
A tua imagem deve andar toda à volta de “tenho olhos claros”.
A Bia é linda.",pt,3,0,8,520
https://twitter.com/jagal_biawak/status/1664560709534126080,2023-06-02 09:12:53,jagal_biawak,Kui PSHT bang ,in,1,0,0,240
https://twitter.com/roysnburn/status/1664553258592120833,2023-06-02 08:43:17,roysnburn,@PSHT_Indonesia jaya jaya,in,1,0,0,288
https://twitter.com/garde_ee/status/1664545642453037058,2023-06-02 08:13:01,garde_ee,Lasar psht manu ba neshe,lv,0,0,0,175
https://twitter.com/gituajacemberut/status/1664526518381604864,2023-06-02 06:57:02,gituajacemberut,Bubarkan psht ra mutu,in,1,0,2,561
https://twitter.com/Darkou1/status/1664518416676585473,2023-06-02 06:24:50,Darkou1,Psht psht psht psht,cy,0,0,0,259
https://twitter.com/m_miftakhu/status/1664483849605361665,2023-06-02 04:07:29,m_miftakhu,Saya menjual KAOS PSHT TERATE KWREN TERB... seharga Rp. Dapatkan di Shopee sekarang! https://shopee.co.id/msglow22_/21480445089… #ShopeeID,in,0,0,0,237
https://twitter.com/m_miftakhu/status/1664475000265674753,2023-06-02 03:32:19,m_miftakhu,Saya menjual KOAS PSHT LENGAN PANJANG MU... seharga Rp. Dapatkan di Shopee sekarang! https://shopee.co.id/msglow22_/23644291301… #ShopeeID,in,0,0,0,203
https://twitter.com/LassyPam/status/1664468464315117568,2023-06-02 03:06:20,LassyPam,Nothing happy about PRIDE.  It’s one of the seven deadliest.  And you claim to be Catholic…psht!,en,0,0,0,137
https://twitter.com/TammyMc32574366/status/1664425544501415936,2023-06-02 00:15:47,TammyMc32574366,"No duh John!! We’ve been screaming from the rooftops! Now you’re going to slowly pull up a chair to the conversation, psht! Stop funding endless wars & we will include you, but until then back row for you.",en,1,2,9,324
